Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
12618,4628,1277,1297,Second Class,BG-11740,United States,Auburn,Washington,98002,West,OFF-AR-10001897,OfficeSupply,Art,Model L Table or Wall-Mount Pencil Sharpener,0.01,3,,-0.0033
12620,152,1113,1141,First Class,AS-10045,United States,Gaithersburg,Maryland,20877,East,OFF-BI-10003684,OfficeSupply,Binders,Wilson Jones Legal Size Ring Binders,234.6967,14,0.1,
12621,6813,792,820,Second Class,DD-13570,United States,La Mesa,California,91941,--,OFF-PA-10003543,OfficeSupply,Paper,Xerox 1985,173.6489,14,0.3,24.5382
12623,9519,1002,1022,Second Class,LB-16795,United States,Covington,Washington,98042,West,TEC-PH-10001795,Tech,Phones,ClearOne CHATAttach 160 - speaker phone,0.01,3,0.7,-0.0031
12624,8308,42,50,Standard Class,DB-13405,United States,Mcallen,Texas,78501,Central,OFF-AR-10000657,OfficeSupply,Art,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",0.01,14,0.5,-0.0022
12625,7218,527,551,Same Day,NG-18430,United States,Sunnyvale,California,94086,West,OFF-PA-10003971,OfficeSupply,Paper,Xerox 1965,0.01,3,0.8,-0.0021
12626,3279,143,147,Same Day,KH-16510,United States,Tamarac,Florida,33319,South,OFF-PA-10000919,OfficeSupply,Paper,Xerox 1918,0.01,10,0.3,-0.0033
12627,6729,778,810,Same Day,BH-11710,United States,Washington,District of Columbia,20016,East,OFF-AR-10000588,OfficeSupply,Art,Newell 345,0.01,9,0.1,0.0025
12628,2566,379,387,Second Class,BF-11080,United States,Bossier City,Louisiana,71111,South,FUR-FU-10003731,Furni,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Oak",0.01,2,0.3,0.0002
12631,443,975,995,Second Class,FH-14275,United States,Conroe,Texas,77301,--,OFF-AR-10003183,OfficeSupply,Art,Avery Fluorescent Highlighter Four-Color Set,376.285,9,0.1,25.6197
12632,3051,369,397,Standard Class,BP-11185,United States,Middletown,Connecticut,6457,East,FUR-FU-10001025,Furni,Furnishings,"Eldon Imàge Series Desk Accessories, Clear",0.01,1,0.32,0.0001
12634,8073,1167,1187,First Class,TT-21460,United States,Omaha,Nebraska,68104,Central,OFF-EN-10001415,OfficeSupply,Envelopes,Staple envelope,363.304,2,,134.0094
12635,2346,381,405,First Class,GZ-14545,United States,Rock Hill,South Carolina,29730,South,OFF-ST-10000585,OfficeSupply,Storage,Economy Rollaway Files,979.8095,2,0.4,-274.4435
12636,5554,1188,1192,Same Day,BM-11650,United States,Troy,Ohio,45373,East,FUR-BO-10002598,Furni,Bookcases,"Hon Metal Bookcases, Putty",235.802,10,0.15,-24.56
12637,7828,1088,1120,Second Class,GM-14455,United States,Los Angeles,California,90004,West,OFF-ST-10003994,OfficeSupply,Storage,"Belkin 19"" Center-Weighted Shelf, Gray",910.7516,4,0.2,-172.4269
